# Time(ps) Median_Mean_Curvature(1/A)
26500.0000 0.00137630
26600.0000 0.00147371
26700.0000 0.00143872
26800.0000 0.00139715
26900.0000 0.00152101
27000.0000 0.00153737
27100.0000 0.00166077
27200.0000 0.00160416
27300.0000 0.00165692
27400.0000 0.00176891
27500.0000 0.00178932
27600.0000 0.00166770
27700.0000 0.00163711
27800.0000 0.00161521
27900.0000 0.00155503
28000.0000 0.00157256
28100.0000 0.00158538
28200.0000 0.00158895
28300.0000 0.00156580
28400.0000 0.00165471
28500.0000 0.00153825
28600.0000 0.00159101
28700.0000 0.00155434
28800.0000 0.00160428
28900.0000 0.00155536
29000.0000 0.00153182
29100.0000 0.00140891
29200.0000 0.00146366
29300.0000 0.00143036
29400.0000 0.00148437
29500.0000 0.00144890
29600.0000 0.00148848
29700.0000 0.00147117
29800.0000 0.00163081
29900.0000 0.00159323
30000.0000 0.00155398
30100.0000 0.00159521
30200.0000 0.00161335
30300.0000 0.00155783
30400.0000 0.00155961
30500.0000 0.00159953
30600.0000 0.00163933
30700.0000 0.00154388
30800.0000 0.00165088
30900.0000 0.00171128
31000.0000 0.00169792
31100.0000 0.00168631
31200.0000 0.00174392
31300.0000 0.00167415
31400.0000 0.00170097
31500.0000 0.00177204
31600.0000 0.00174801
31700.0000 0.00179313
31800.0000 0.00179292
31900.0000 0.00179189
32000.0000 0.00181448
32100.0000 0.00187506
32200.0000 0.00181509
32300.0000 0.00185852
32400.0000 0.00181708
32500.0000 0.00187962
32600.0000 0.00187784
32700.0000 0.00194919
32800.0000 0.00203698
32900.0000 0.00207927
33000.0000 0.00208266
33100.0000 0.00204179
33200.0000 0.00204894
33300.0000 0.00201924
33400.0000 0.00208790
33500.0000 0.00201136
33600.0000 0.00204246
33700.0000 0.00200736
33800.0000 0.00206172
33900.0000 0.00204090
34000.0000 0.00203966
34100.0000 0.00207279
34200.0000 0.00212164
34300.0000 0.00209982
34400.0000 0.00212865
34500.0000 0.00206776
34600.0000 0.00207925
34700.0000 0.00209215
34800.0000 0.00200678
34900.0000 0.00196389
35000.0000 0.00200684
35100.0000 0.00198421
35200.0000 0.00199271
35300.0000 0.00208610
35400.0000 0.00209340
35500.0000 0.00211681
35600.0000 0.00207767
35700.0000 0.00209367
35800.0000 0.00206533
35900.0000 0.00199866
36000.0000 0.00211399
36100.0000 0.00205755
36200.0000 0.00209380
36300.0000 0.00212272
36400.0000 0.00213124
36500.0000 0.00209591
36600.0000 0.00206783
36700.0000 0.00210794
36800.0000 0.00210460
36900.0000 0.00218936
37000.0000 0.00221418
37100.0000 0.00219237
37200.0000 0.00207762
37300.0000 0.00215018
37400.0000 0.00208880
37500.0000 0.00216776
37600.0000 0.00217563
37700.0000 0.00219873
37800.0000 0.00216469
37900.0000 0.00212693
38000.0000 0.00218926
38100.0000 0.00219954
38200.0000 0.00220982
38300.0000 0.00225229
38400.0000 0.00209199
38500.0000 0.00224337
38600.0000 0.00226648
38700.0000 0.00229132
38800.0000 0.00238748
38900.0000 0.00235989
39000.0000 0.00229036
39100.0000 0.00233976
39200.0000 0.00231542
39300.0000 0.00228333
39400.0000 0.00227889
39500.0000 0.00229711
39600.0000 0.00228028
39700.0000 0.00228973
39800.0000 0.00234038
39900.0000 0.00227098
40000.0000 0.00233942
40100.0000 0.00240296
40200.0000 0.00240589
40300.0000 0.00244477
40400.0000 0.00238388
40500.0000 0.00236657
40600.0000 0.00240296
40700.0000 0.00245952
40800.0000 0.00240100
40900.0000 0.00236197
41000.0000 0.00240774
41100.0000 0.00238142
41200.0000 0.00240618
41300.0000 0.00233851
41400.0000 0.00234526
41500.0000 0.00223216
41600.0000 0.00223701
41700.0000 0.00223624
41800.0000 0.00238014
41900.0000 0.00229410
42000.0000 0.00227167
42100.0000 0.00224934
42200.0000 0.00234424
42300.0000 0.00230408
42400.0000 0.00223684
42500.0000 0.00227566
42600.0000 0.00225540
42700.0000 0.00231737
42800.0000 0.00232907
42900.0000 0.00233265
43000.0000 0.00231359
43100.0000 0.00242975
43200.0000 0.00244484
43300.0000 0.00243812
43400.0000 0.00247167
43500.0000 0.00248714
43600.0000 0.00254236
43700.0000 0.00258218
43800.0000 0.00265074
43900.0000 0.00265581
44000.0000 0.00260265
44100.0000 0.00257570
44200.0000 0.00264028
44300.0000 0.00265710
44400.0000 0.00264571
44500.0000 0.00262225
44600.0000 0.00267314
44700.0000 0.00271121
44800.0000 0.00269128
44900.0000 0.00268157
45000.0000 0.00285940
45100.0000 0.00283421
45200.0000 0.00285295
45300.0000 0.00281501
45400.0000 0.00292226
45500.0000 0.00295035
45600.0000 0.00292508
45700.0000 0.00298443
45800.0000 0.00294821
45900.0000 0.00296907
46000.0000 0.00290298
46100.0000 0.00299270
46200.0000 0.00300086
46300.0000 0.00293379
46400.0000 0.00304164
46500.0000 0.00308380
46600.0000 0.00315792
46700.0000 0.00320958
46800.0000 0.00320354
46900.0000 0.00334212
47000.0000 0.00343719
47100.0000 0.00345215
47200.0000 0.00347172
47300.0000 0.00342163
47400.0000 0.00342928
47500.0000 0.00339698
47600.0000 0.00346355
47700.0000 0.00339241
47800.0000 0.00350903
47900.0000 0.00355208
48000.0000 0.00362500
48100.0000 0.00356794
48200.0000 0.00358089
48300.0000 0.00356012
48400.0000 0.00365511
48500.0000 0.00373483
48600.0000 0.00372183
48700.0000 0.00365619
48800.0000 0.00375295
48900.0000 0.00378092
49000.0000 0.00382838
49100.0000 0.00386956
49200.0000 0.00392150
49300.0000 0.00392065
49400.0000 0.00396114
49500.0000 0.00385593
49600.0000 0.00400558
49700.0000 0.00396580
49800.0000 0.00414266
49900.0000 0.00414474
50000.0000 0.00411677
50100.0000 0.00406730
50200.0000 0.00405498
50300.0000 0.00411615
50400.0000 0.00416835
50500.0000 0.00414446
50600.0000 0.00407841
50700.0000 0.00408281
50800.0000 0.00411536
50900.0000 0.00410515
51000.0000 0.00413462
51100.0000 0.00404801
51200.0000 0.00409219
51300.0000 0.00409146
51400.0000 0.00403117
51500.0000 0.00398336
51600.0000 0.00401600
51700.0000 0.00400856
51800.0000 0.00406977
51900.0000 0.00404379
52000.0000 0.00409860
52100.0000 0.00407418
52200.0000 0.00402387
52300.0000 0.00406794
52400.0000 0.00409474
52500.0000 0.00409603
52600.0000 0.00412979
52700.0000 0.00414135
52800.0000 0.00413834
52900.0000 0.00416495
53000.0000 0.00425038
53100.0000 0.00421592
53200.0000 0.00420950
53300.0000 0.00431178
53400.0000 0.00438856
53500.0000 0.00451399
53600.0000 0.00444001
53700.0000 0.00450179
53800.0000 0.00454411
53900.0000 0.00454503
54000.0000 0.00448026
54100.0000 0.00456350
54200.0000 0.00460550
54300.0000 0.00453574
54400.0000 0.00439666
54500.0000 0.00455620
54600.0000 0.00457623
54700.0000 0.00456987
54800.0000 0.00458263
54900.0000 0.00467413
55000.0000 0.00467164
55100.0000 0.00470314
55200.0000 0.00471266
55300.0000 0.00472897
55400.0000 0.00471230
55500.0000 0.00470687
55600.0000 0.00476341
55700.0000 0.00477009
55800.0000 0.00477799
55900.0000 0.00482226
56000.0000 0.00487116
56100.0000 0.00493038
56200.0000 0.00494918
56300.0000 0.00497809
56400.0000 0.00498854
56500.0000 0.00497142
56600.0000 0.00496176
56700.0000 0.00501296
56800.0000 0.00500729
56900.0000 0.00496852
57000.0000 0.00510258
57100.0000 0.00520189
57200.0000 0.00516396
57300.0000 0.00524147
57400.0000 0.00535750
57500.0000 0.00538087
57600.0000 0.00537114
57700.0000 0.00538093
57800.0000 0.00539365
57900.0000 0.00534622
58000.0000 0.00542905
58100.0000 0.00542579
58200.0000 0.00545487
58300.0000 0.00544951
58400.0000 0.00543549
58500.0000 0.00546120
58600.0000 0.00545626
58700.0000 0.00544017
58800.0000 0.00544346
58900.0000 0.00551382
59000.0000 0.00552944
59100.0000 0.00548521
59200.0000 0.00541134
59300.0000 0.00549338
59400.0000 0.00550570
59500.0000 0.00551252
59600.0000 0.00551470
59700.0000 0.00553423
59800.0000 0.00550984
59900.0000 0.00552809
60000.0000 0.00561446
60100.0000 0.00557875
60200.0000 0.00552808
60300.0000 0.00561698
60400.0000 0.00569448
60500.0000 0.00566206
60600.0000 0.00571592
60700.0000 0.00570414
60800.0000 0.00569883
60900.0000 0.00571077
61000.0000 0.00572446
61100.0000 0.00565153
61200.0000 0.00572451
61300.0000 0.00573410
61400.0000 0.00572882
61500.0000 0.00569617
61600.0000 0.00574076
61700.0000 0.00574706
61800.0000 0.00574898
61900.0000 0.00569483
62000.0000 0.00580319
62100.0000 0.00575992
62200.0000 0.00578502
62300.0000 0.00577372
62400.0000 0.00580484
62500.0000 0.00582257
62600.0000 0.00580652
62700.0000 0.00577743
62800.0000 0.00582111
62900.0000 0.00582579
63000.0000 0.00585529
63100.0000 0.00591383
63200.0000 0.00595822
63300.0000 0.00602438
63400.0000 0.00599489
63500.0000 0.00603006
63600.0000 0.00602284
63700.0000 0.00597280
63800.0000 0.00600186
63900.0000 0.00597537
64000.0000 0.00607062
64100.0000 0.00607898
64200.0000 0.00613904
64300.0000 0.00610445
64400.0000 0.00616645
64500.0000 0.00621810
64600.0000 0.00623322
64700.0000 0.00619382
64800.0000 0.00620366
64900.0000 0.00625163
65000.0000 0.00628952
65100.0000 0.00636380
65200.0000 0.00635769
65300.0000 0.00640209
65400.0000 0.00637844
65500.0000 0.00637617
65600.0000 0.00638378
65700.0000 0.00643344
65800.0000 0.00641902
65900.0000 0.00634951
66000.0000 0.00642826
66100.0000 0.00637005
66200.0000 0.00641624
